MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
rnn,Wind,0,0.3,1,32, True,25,32,5,3314,Adam,0.001,minmax,80.61316228,1.664034843,30.61987932,1907.118036,43.67056258
rnn,Wind,1,0.3,1,32, False,25,32,5,3314,Adam,0.001,minmax,78.55901837,1.704293013,49.4413225,4292.355844,65.51607317
rnn,Wind,2,0.3,1,64, True,25,32,5,3314,Adam,0.001,minmax,82.0914731,1.755648136,32.20899571,2033.472061,45.09403576
rnn,Wind,3,0.3,1,64, False,25,32,5,3314,Adam,0.001,minmax,79.24213505,1.725193262,40.93011745,3087.992192,55.56970571
rnn,Wind,4,0.3,1,128, True,25,32,5,3314,Adam,0.001,minmax,81.39220953,1.728616238,42.03024369,3178.155642,56.37513318
rnn,Wind,5,0.3,1,128, False,25,32,5,3314,Adam,0.001,minmax,81.56757236,1.763874292,28.9727606,1752.225956,41.85959814
rnn,Wind,6,0.3,2,32, True,25,32,5,3314,Adam,0.001,minmax,133.3933711,2.609533072,33.84511291,2388.324078,48.87048268
rnn,Wind,7,0.3,2,32, False,25,32,5,3314,Adam,0.001,minmax,131.9470136,2.631376982,32.6754447,2241.45033,47.34395769
rnn,Wind,8,0.3,2,64, True,25,32,5,3314,Adam,0.001,minmax,134.0864711,2.668376684,30.24941071,1880.96065,43.37004323
rnn,Wind,9,0.3,2,64, False,25,32,5,3314,Adam,0.001,minmax,132.0928688,2.428049088,33.1363161,2093.807404,45.75814031
rnn,Wind,10,0.3,2,128, True,25,32,5,3314,Adam,0.001,minmax,133.4984374,2.578671217,31.66551838,2010.938505,44.843489
rnn,Wind,11,0.3,2,128, False,25,32,5,3314,Adam,0.001,minmax,136.2031801,2.542490482,33.24679636,2302.078871,47.97998407
rnn,Wind,12,0.3,4,32, True,25,32,5,3314,Adam,0.001,minmax,238.1850939,3.96997571,31.42100594,2047.034853,45.24416927
rnn,Wind,13,0.3,4,32, False,25,32,5,3314,Adam,0.001,minmax,232.9552946,3.938476086,38.78159583,3042.944508,55.16289068
rnn,Wind,14,0.3,4,64, True,25,32,5,3314,Adam,0.001,minmax,235.4365649,4.1336658,35.62084774,2388.689592,48.87422216
rnn,Wind,15,0.3,4,64, False,25,32,5,3314,Adam,0.001,minmax,226.1755722,4.501485109,34.27039494,2495.402291,49.95400175
rnn,Wind,16,0.3,4,128, True,25,32,5,3314,Adam,0.001,minmax,228.2799613,4.392081499,37.91890327,2979.647894,54.58615112
rnn,Wind,17,0.3,4,128, False,25,32,5,3314,Adam,0.001,minmax,248.2646046,4.316251278,33.07744815,2090.267998,45.71944879
lstm,Wind,0,0.3,1,32, True,25,32,5,3314,Adam,0.001,minmax,86.03689837,2.150733471,34.35024185,2364.459197,48.62570511
lstm,Wind,1,0.3,1,32, False,25,32,5,3314,Adam,0.001,minmax,85.85261917,2.01569891,29.25628994,1770.097131,42.07252228
lstm,Wind,2,0.3,1,64, True,25,32,5,3314,Adam,0.001,minmax,79.4551177,2.163236618,32.95994512,2218.002812,47.09567721
lstm,Wind,3,0.3,1,64, False,25,32,5,3314,Adam,0.001,minmax,80.3310113,2.274610519,33.16764933,2278.323987,47.7317922
lstm,Wind,4,0.3,1,128, True,25,32,5,3314,Adam,0.001,minmax,89.70493126,2.125560284,32.05581223,2052.2578,45.30185206
lstm,Wind,5,0.3,1,128, False,25,32,5,3314,Adam,0.001,minmax,78.6119523,2.204948187,32.20533498,2069.996077,45.49720955
lstm,Wind,6,0.3,2,32, True,25,32,5,3314,Adam,0.001,minmax,131.3980587,3.163623095,32.54665121,2163.989828,46.51870407
lstm,Wind,7,0.3,2,32, False,25,32,5,3314,Adam,0.001,minmax,145.4513314,3.251315832,29.92814581,1875.005201,43.30133025
lstm,Wind,8,0.3,2,64, True,25,32,5,3314,Adam,0.001,minmax,127.8158948,3.146618605,30.9912544,2001.423298,44.73726967
lstm,Wind,9,0.3,2,64, False,25,32,5,3314,Adam,0.001,minmax,137.2875381,3.136168003,29.53403254,1803.871533,42.47200882
lstm,Wind,10,0.3,2,128, True,25,32,5,3314,Adam,0.001,minmax,126.7287078,3.209311008,41.4520078,3270.627651,57.18940156
lstm,Wind,11,0.3,2,128, False,25,32,5,3314,Adam,0.001,minmax,131.9099948,3.192854643,30.25650615,1906.081525,43.65869358
lstm,Wind,12,0.3,4,32, True,25,32,5,3314,Adam,0.001,minmax,222.892287,5.683273077,33.42077974,2354.441432,48.52258682
lstm,Wind,13,0.3,4,32, False,25,32,5,3314,Adam,0.001,minmax,237.5532832,5.805245876,30.33939644,1876.95654,43.32385648
lstm,Wind,14,0.3,4,64, True,25,32,5,3314,Adam,0.001,minmax,206.1798234,5.52757144,40.87290679,3489.339477,59.07063126
lstm,Wind,15,0.3,4,64, False,25,32,5,3314,Adam,0.001,minmax,220.3423328,5.564769745,29.65316506,1823.002993,42.69663913
lstm,Wind,16,0.3,4,128, True,25,32,5,3314,Adam,0.001,minmax,240.2450118,6.092197895,30.54997208,1849.735294,43.00854908
lstm,Wind,17,0.3,4,128, False,25,32,5,3314,Adam,0.001,minmax,247.436378,5.785896063,40.57787317,3184.375838,56.43027413
rnn,Wind,0,0.3,1,32, True,25,64,5,1657,Adam,0.001,minmax,47.17117405,1.69152379,30.23018648,1908.10789,43.6818943
rnn,Wind,1,0.3,1,32, False,25,64,5,1657,Adam,0.001,minmax,46.47959423,1.76328516,33.53117862,2300.252205,47.96094458
